City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Buala,SB,80.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
644,Gizo,SB,81.36,broken clouds,-8.103,156.8419,Imagination Island
646,Barra Patuca,HN,83.03,overcast clouds,15.8,-84.2833,
647,Kasongo-Lunda,CD,78.69,light rain,-6.4667,16.8167,
648,Hong Gai,VN,76.91,broken clouds,20.956,107.0946,Hạ Long DC Hotel
654,Pilar,BR,84.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
658,Laem Sing,TH,81.01,light rain,12.4816,102.0738,Laem Sing Whitehouse Resort
665,Samarai,PG,79.41,broken clouds,-10.6167,150.6667,Nuli Sapi
667,Bam,IR,85.55,clear sky,29.106,58.357,Bam Tourist Hotel
670,Boyolangu,ID,75.56,broken clouds,-8.1181,111.8935,Yos ega cv
671,Felanitx,ES,80.96,scattered clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
675,Binga,ZW,84.72,few clouds,-17.6203,27.3414,Lakeview Inn Binga
677,Aitape,PG,77.59,light rain,-3.1374,142.3475,
679,Nicoya,CR,84.07,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
680,Quang Ngai,VN,75.97,overcast clouds,15.1167,108.8,Central Hotel
683,Guane,CU,88.9,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
690,Marsa Matruh,EG,76.71,clear sky,31.3525,27.2453,Beau Site
691,Ormara,PK,79.74,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
695,Campeche,MX,77.18,overcast clouds,19.0,-90.5,
697,Kaka,TM,81.93,clear sky,37.3482,59.6143,
