City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Vardo,NO,2022-09-23 15:37:18,70.3705,31.1107,49.98,87,100,19.57,overcast clouds
150,Hirado,JP,2022-09-23 15:37:19,33.3597,129.5531,67.39,72,100,14.94,overcast clouds
151,Phan Thiet,VN,2022-09-23 15:37:19,10.9333,108.1,78.42,84,100,4.43,overcast clouds
152,Port Elizabeth,ZA,2022-09-23 15:37:20,-33.918,25.5701,61.32,64,0,12.66,clear sky
153,Antu,IN,2022-09-23 15:37:20,26.05,81.9167,78.62,88,98,5.77,overcast clouds
154,Clyde River,CA,2022-09-23 15:37:20,70.4692,-68.5914,28.63,74,100,14.97,overcast clouds
155,Oussouye,SN,2022-09-23 15:37:21,12.485,-16.5469,91.58,65,52,11.86,broken clouds
156,Toppenish,US,2022-09-23 15:37:21,46.3774,-120.3087,62.87,46,10,2.26,clear sky
157,Coos Bay,US,2022-09-23 15:33:30,43.3665,-124.2179,57.92,99,100,0.0,fog
158,Puerto Del Rosario,ES,2022-09-23 15:37:21,28.5004,-13.8627,80.35,65,20,17.27,few clouds
159,Provideniya,RU,2022-09-23 15:37:22,64.3833,-173.3,41.22,91,95,10.63,overcast clouds
160,Port Lincoln,AU,2022-09-23 15:33:36,-34.7333,135.8667,50.58,69,26,10.85,scattered clouds
161,Ca Mau,VN,2022-09-23 15:37:22,9.1769,105.15,77.99,90,97,3.94,overcast clouds
162,Tabou,CI,2022-09-23 15:37:22,4.423,-7.3528,78.53,82,97,8.66,light rain
163,Svetlogorsk,BY,2022-09-23 15:37:23,52.6333,29.7333,49.19,85,100,5.19,overcast clouds
164,Razole,IN,2022-09-23 15:37:23,16.4833,81.8333,76.66,92,28,4.52,scattered clouds
165,Tubuala,PA,2022-09-23 15:37:23,9.5167,-79.0333,83.01,74,58,5.53,broken clouds
166,Geraldton,AU,2022-09-23 15:37:24,-28.7667,114.6,50.41,93,40,3.44,scattered clouds
167,Zyryanka,RU,2022-09-23 15:37:24,65.75,150.85,32.83,98,100,9.75,light snow
168,Bridlington,GB,2022-09-23 15:37:24,54.0831,-0.1919,62.53,70,2,11.48,clear sky
169,Pitimbu,BR,2022-09-23 15:37:25,-7.4706,-34.8086,86.59,68,61,10.11,broken clouds
170,Waingapu,ID,2022-09-23 15:37:25,-9.6567,120.2641,78.69,82,60,4.5,broken clouds
171,The Valley,AI,2022-09-23 15:37:25,18.217,-63.0578,87.66,74,20,12.66,few clouds
172,Nanortalik,GL,2022-09-23 15:37:26,60.1432,-45.2371,48.06,97,100,13.6,moderate rain
173,Isangel,VU,2022-09-23 15:34:10,-19.55,169.2667,74.17,90,18,5.39,few clouds
174,Manacapuru,BR,2022-09-23 15:37:27,-3.2997,-60.6206,93.02,43,15,1.36,few clouds
175,Halifax,CA,2022-09-23 15:37:08,44.6453,-63.5724,58.21,96,100,8.05,moderate rain
176,Iqaluit,CA,2022-09-23 15:37:27,63.7506,-68.5145,35.33,51,20,10.36,few clouds
177,Dikson,RU,2022-09-23 15:37:28,73.5069,80.5464,32.99,73,51,22.3,broken clouds
178,Castro,BR,2022-09-23 15:37:28,-24.7911,-50.0119,57.25,52,0,10.74,clear sky
179,Mitu,CO,2022-09-23 15:37:29,1.1983,-70.1733,94.03,43,13,2.46,few clouds
180,Milton,US,2022-09-23 15:34:37,34.1322,-84.3007,73.94,53,4,1.01,clear sky
181,Bukachacha,RU,2022-09-23 15:37:30,52.9833,116.9167,45.95,89,100,2.04,overcast clouds
182,Khao Yoi,TH,2022-09-23 15:38:31,13.2403,99.8243,76.91,85,100,1.72,light rain
183,Taki,IN,2022-09-23 15:38:32,22.5861,88.9214,84.15,90,63,7.14,broken clouds
184,Medicine Hat,CA,2022-09-23 15:38:32,50.0501,-110.6683,53.22,79,20,8.05,few clouds
185,Katsuura,JP,2022-09-23 15:38:35,35.1333,140.3,78.26,89,100,19.22,overcast clouds
186,Charters Towers,AU,2022-09-23 15:38:35,-20.1,146.2667,66.51,41,0,5.32,clear sky
187,Chernyshevskiy,RU,2022-09-23 15:38:35,63.0128,112.4714,30.9,97,100,10.76,light snow
188,Lavrentiya,RU,2022-09-23 15:38:35,65.5833,-171.0,42.21,84,100,18.75,overcast clouds
189,Haines Junction,CA,2022-09-23 15:38:36,60.7522,-137.5108,35.55,93,100,1.14,overcast clouds
190,Comodoro Rivadavia,AR,2022-09-23 15:35:56,-45.8667,-67.5,55.26,41,0,16.11,clear sky
191,Saskylakh,RU,2022-09-23 15:38:36,71.9167,114.0833,20.41,92,70,3.83,broken clouds
192,San Cristobal,VE,2022-09-23 15:38:37,7.7669,-72.225,78.98,56,96,4.56,overcast clouds
193,Norilsk,RU,2022-09-23 15:38:37,69.3535,88.2027,31.42,91,91,4.43,overcast clouds
194,San Quintin,MX,2022-09-23 15:38:37,30.4833,-115.95,73.65,71,60,5.95,broken clouds
195,Tranas,SE,2022-09-23 15:38:38,58.0372,14.9782,56.39,70,100,5.97,overcast clouds
196,Chiredzi,ZW,2022-09-23 15:38:38,-21.05,31.6667,88.66,24,0,10.18,clear sky
197,Abbeville,FR,2022-09-23 15:34:39,50.1,1.8333,62.56,78,100,2.44,light rain
198,Alofi,NU,2022-09-23 15:38:39,-19.0595,-169.9187,73.29,88,27,8.05,scattered clouds
199,Vila Velha,BR,2022-09-23 15:38:39,-20.3297,-40.2925,80.55,85,40,15.01,scattered clouds
200,Cordoba,AR,2022-09-23 15:38:39,-31.4135,-64.1811,75.76,15,0,12.66,clear sky
201,Vila Franca Do Campo,PT,2022-09-23 15:38:39,37.7167,-25.4333,78.19,84,60,9.55,light rain
202,Ust-Kan,RU,2022-09-23 15:38:40,50.9276,84.761,46.54,84,27,1.59,scattered clouds
203,La Cruz,MX,2022-09-23 15:38:40,23.9167,-106.9,83.25,76,5,2.44,clear sky
204,Pangnirtung,CA,2022-09-23 15:38:41,66.1451,-65.7125,35.6,60,20,3.44,few clouds
205,Ibra,OM,2022-09-23 15:38:41,22.6906,58.5334,92.28,31,84,10.27,broken clouds
206,Charlottetown,CA,2022-09-23 15:35:09,46.2352,-63.1267,55.69,96,100,10.36,light intensity shower rain
207,Chapais,CA,2022-09-23 15:38:41,49.7834,-74.8492,38.98,52,94,9.57,overcast clouds
208,Worthing,GB,2022-09-23 15:38:42,50.8145,-0.3713,65.55,85,75,5.75,broken clouds
209,San Rafael,AR,2022-09-23 15:38:42,-34.6177,-68.3301,68.18,15,75,14.94,broken clouds
210,Meadow Lake,US,2022-09-23 15:38:42,34.8014,-106.5436,74.41,52,17,6.4,few clouds
211,Norman Wells,CA,2022-09-23 15:37:38,65.282,-126.8329,39.24,81,100,20.71,overcast clouds
212,Novoagansk,RU,2022-09-23 15:38:43,61.9449,76.6625,38.64,64,85,7.49,overcast clouds
213,Acarau,BR,2022-09-23 15:37:41,-2.8856,-40.12,89.08,53,40,15.41,scattered clouds
214,Port Hardy,CA,2022-09-23 15:38:43,50.6996,-127.4199,53.78,100,100,3.44,light rain
215,Knysna,ZA,2022-09-23 15:38:43,-34.0363,23.0471,57.83,59,100,5.26,overcast clouds
216,Fort Nelson,CA,2022-09-23 15:38:44,58.8053,-122.7002,38.79,93,40,5.75,scattered clouds
217,Mandera,KE,2022-09-23 15:38:44,3.9366,41.867,90.66,28,91,13.67,overcast clouds
218,Soyo,AO,2022-09-23 15:38:44,-6.1349,12.3689,76.17,80,85,9.55,overcast clouds
219,Ballinrobe,IE,2022-09-23 15:38:45,53.6333,-9.2333,59.11,60,76,11.25,broken clouds
220,Sao Filipe,CV,2022-09-23 15:38:46,14.8961,-24.4956,79.83,79,11,10.67,few clouds
221,Coquimbo,CL,2022-09-23 15:38:24,-29.9533,-71.3436,60.53,63,20,9.22,few clouds
